colid,colprice,colfake
1,49.15,2025-04-04
2,86.86,2021-01-12
3,97.88,2024-09-28
4,72.24,2024-02-11
5,92.33,2022-04-13
6,83.66,2021-08-08
7,44.5,2023-01-25
8,53.79,2025-05-02
9,75.14,2024-08-09
10,73.49,2025-04-18
11,13.3,2022-06-29
12,80.11,2023-03-18
13,11.03,2024-07-30
14,29.68,2023-01-24
15,20.03,2024-06-04
16,44.11,2023-06-12
17,43.91,2023-05-17
18,55.03,2023-10-19
19,15.12,2023-11-14
20,63.8,2023-03-03
21,64.19,2022-01-24
22,35.66,2022-03-11
23,4.1,2022-11-14
24,37.97,2023-07-18
25,20.66,2023-09-25
26,51.95,2021-09-19
27,38.02,2020-08-25
28,15.39,2024-06-27
29,33.54,2023-05-09
30,40.7,2023-09-04
31,96.46,2022-10-07
32,63.29,2023-07-10
33,10.15,2020-12-24
34,17.3,2025-03-26
35,58.68,2022-01-26
36,44.55,2023-08-18
37,57.02,2021-12-01
38,97.38,2021-01-13
39,72.34,2023-12-18
40,87.88,2020-11-29
41,3.71,2021-06-26
42,4.9,2024-12-26
43,30.24,2021-03-08
44,27.83,2022-07-08
45,41.16,2025-06-15
46,1.93,2021-04-06
47,51.25,2021-07-16
48,69.48,2022-10-05
49,35.7,2025-06-22
50,5.46,2022-04-02
