Date,Category,Region,Revenue,Profit,Units_Sold
01/01/2025,Electronics,North,2500000,250000,500
02/01/2025,Clothing,South,1800000,180000,600
03/01/2025,Electronics,East,3000000,300000,450
04/01/2025,Furniture,West,1200000,120000,200
05/01/2025,Clothing,North,2000000,200000,550
06/01/2025,Electronics,South,2800000,280000,480
07/01/2025,Furniture,East,1500000,150000,250
08/01/2025,Clothing,West,1700000,170000,520
09/01/2025,Electronics,North,3200000,320000,510
10/01/2025,Furniture,South,1400000,140000,220
